SK_ID_CURR,N_PREV_APPLICATIONS,N_PREV_REFUSED,N_PREV_APPROVED,PREV_REFUSED_RATIO
100103,2,0,2,0.0
100104,1,0,1,0.0
100105,14,2,12,0.14285714285714285
100106,5,0,3,0.0
100107,2,0,2,0.0
100108,1,0,1,0.0
100109,9,4,3,0.4444444444444444
100110,4,0,4,0.0
100111,6,1,5,0.16666666666666666
100112,4,0,4,0.0
100113,4,2,2,0.5
100114,2,0,2,0.0
100115,4,0,2,0.0
100116,15,7,5,0.4666666666666667
100117,2,0,2,0.0
100118,2,0,2,0.0
100119,1,0,1,0.0
100120,3,0,0,0.0
100121,3,0,3,0.0
100122,4,2,2,0.5
100123,4,1,3,0.25
100124,13,2,7,0.15384615384615385
100125,3,1,2,0.3333333333333333
100126,2,0,2,0.0
100127,3,0,3,0.0
100128,13,3,7,0.23076923076923078
100130,2,0,2,0.0
100131,2,0,2,0.0
100132,2,0,2,0.0
100133,3,1,2,0.3333333333333333
100135,12,4,4,0.3333333333333333
100136,2,0,2,0.0
100137,11,4,4,0.36363636363636365
100138,2,0,2,0.0
100139,11,3,6,0.2727272727272727
100141,1,0,1,0.0
100142,3,0,3,0.0
100143,3,1,2,0.3333333333333333
100144,11,0,5,0.0
100145,6,1,5,0.16666666666666666
100146,1,0,1,0.0
100147,9,0,8,0.0
100148,3,0,3,0.0
100149,1,0,1,0.0
100150,4,1,2,0.25
100151,3,0,2,0.0
100152,11,0,9,0.0
100153,7,0,6,0.0
100154,2,0,2,0.0
100155,1,0,1,0.0
100156,3,0,2,0.0
100157,5,1,3,0.2
100158,3,0,2,0.0
100159,3,0,2,0.0
100160,3,0,2,0.0
100161,1,0,1,0.0
100162,9,2,6,0.2222222222222222
100163,2,1,1,0.5
100164,7,2,3,0.2857142857142857
100165,5,0,5,0.0
100166,7,0,7,0.0
100167,10,3,5,0.3
100168,4,0,3,0.0
100169,17,5,4,0.29411764705882354
100170,16,4,6,0.25
100171,1,0,1,0.0
100172,3,0,2,0.0
100173,3,0,3,0.0
100174,1,0,1,0.0
100175,1,0,1,0.0
100176,2,0,2,0.0
100177,1,0,1,0.0
100178,5,3,2,0.6
100179,5,0,4,0.0
100180,6,1,3,0.16666666666666666
100181,9,1,4,0.1111111111111111
100182,4,0,2,0.0
100183,2,0,2,0.0
100184,11,4,3,0.36363636363636365
100185,9,1,7,0.1111111111111111
100186,2,0,2,0.0
100187,7,1,4,0.14285714285714285
100188,3,0,2,0.0
100189,4,0,2,0.0
100190,11,1,10,0.09090909090909091
100191,4,0,4,0.0
100193,11,2,3,0.18181818181818182
100194,5,1,4,0.2
100196,8,0,4,0.0
100197,11,3,5,0.2727272727272727
100198,7,3,3,0.42857142857142855
100199,1,0,1,0.0
100200,5,2,3,0.4
100201,17,2,9,0.11764705882352941
100202,6,0,2,0.0
100204,1,0,1,0.0
100205,3,2,1,0.6666666666666666
100206,12,7,5,0.5833333333333334
100207,1,0,1,0.0
100208,4,0,3,0.0
100209,3,0,2,0.0
100210,3,0,2,0.0
100211,3,0,3,0.0
100212,5,0,4,0.0
100213,1,0,1,0.0
100214,4,1,3,0.25
100215,5,0,3,0.0
100216,1,0,1,0.0
100217,6,0,5,0.0
100218,4,0,2,0.0
100219,2,0,1,0.0
100220,6,0,4,0.0
100221,14,3,5,0.21428571428571427
100222,4,1,1,0.25
100223,6,1,5,0.16666666666666666
100224,3,2,1,0.6666666666666666
100225,5,0,3,0.0
100226,4,0,4,0.0
100227,4,0,1,0.0
100228,4,0,2,0.0
100229,4,0,4,0.0
100230,7,2,3,0.2857142857142857
100231,5,0,3,0.0
100232,3,0,2,0.0
100233,11,0,7,0.0
100234,1,0,1,0.0
100235,14,8,3,0.5714285714285714
100237,1,0,1,0.0
100238,6,0,6,0.0
100239,14,5,5,0.35714285714285715
100240,7,1,4,0.14285714285714285
100242,1,0,1,0.0
100243,13,3,9,0.23076923076923078
100244,2,0,2,0.0
100246,3,1,1,0.3333333333333333
100247,10,0,10,0.0
100248,4,0,3,0.0
100249,4,0,2,0.0
100250,10,0,7,0.0
100251,1,0,1,0.0
100252,1,0,1,0.0
100253,7,0,7,0.0
100254,3,0,1,0.0
100255,4,2,2,0.5
100256,17,10,4,0.5882352941176471
100257,3,0,3,0.0
100258,2,0,2,0.0
100259,6,1,4,0.16666666666666666
100260,6,0,3,0.0
100261,11,5,4,0.45454545454545453
100262,2,0,2,0.0
100263,2,0,2,0.0
100264,1,0,1,0.0
100265,1,0,1,0.0
100266,4,0,4,0.0
100267,3,0,2,0.0
100268,4,0,2,0.0
100269,2,0,1,0.0
100270,16,6,7,0.375
100271,13,1,9,0.07692307692307693
100272,5,1,2,0.2
100273,10,4,5,0.4
100274,2,0,2,0.0
100275,6,1,4,0.16666666666666666
100276,2,0,2,0.0
100277,1,0,1,0.0
100278,3,2,1,0.6666666666666666
100279,11,2,6,0.18181818181818182
100280,4,1,2,0.25
100281,4,0,4,0.0
100283,2,0,2,0.0
100284,4,0,4,0.0
100285,2,0,2,0.0
100286,1,0,1,0.0
100287,5,0,2,0.0
100288,4,3,1,0.75
100289,6,1,4,0.16666666666666666
100290,23,9,13,0.391304347826087
100291,6,0,6,0.0
100292,3,0,3,0.0
100293,4,0,3,0.0
100294,4,0,2,0.0
100296,4,0,3,0.0
100297,5,1,3,0.2
100298,6,1,4,0.16666666666666666
100299,6,0,5,0.0
100300,2,0,2,0.0
100301,7,5,2,0.7142857142857143
100302,15,3,6,0.2
100303,17,5,9,0.29411764705882354
100304,1,0,1,0.0
100305,1,0,1,0.0
100306,3,0,2,0.0
100307,14,1,9,0.07142857142857142
100308,5,1,3,0.2
100309,2,0,2,0.0
100310,6,1,5,0.16666666666666666
100311,16,2,6,0.125
100312,2,0,2,0.0
100313,3,0,2,0.0
100314,6,3,3,0.5
100315,5,0,4,0.0
100316,2,0,2,0.0
100317,24,7,12,0.2916666666666667
100319,1,0,1,0.0
100320,5,0,4,0.0
100321,7,2,4,0.2857142857142857
100322,3,0,3,0.0
100323,1,0,1,0.0
100324,5,3,2,0.6
100325,8,1,7,0.125
100326,1,0,1,0.0
100327,11,2,6,0.18181818181818182
100328,2,0,2,0.0
100329,3,1,2,0.3333333333333333
100330,4,0,3,0.0
100331,3,0,2,0.0
100332,2,1,1,0.5
100333,7,3,3,0.42857142857142855
100334,2,0,2,0.0
100335,2,0,2,0.0
100336,2,0,1,0.0
100337,1,0,1,0.0
100338,14,3,5,0.21428571428571427
100339,5,0,3,0.0
100340,1,0,1,0.0
100341,2,0,2,0.0
100342,1,0,1,0.0
100343,7,2,4,0.2857142857142857
100344,6,0,5,0.0
100345,7,1,4,0.14285714285714285
100346,6,0,6,0.0
100347,4,0,4,0.0
100349,1,0,1,0.0
100350,10,2,7,0.2
100351,4,0,4,0.0
100352,5,0,5,0.0
100353,2,0,1,0.0
100354,4,0,4,0.0
100355,5,2,3,0.4
100356,3,1,2,0.3333333333333333
100357,1,0,1,0.0
100358,18,6,8,0.3333333333333333
100359,2,1,1,0.5
100360,3,0,2,0.0
100361,1,0,1,0.0
100362,8,0,7,0.0
100363,2,0,2,0.0
100364,5,0,5,0.0
100365,7,0,2,0.0
100367,5,0,4,0.0
100368,4,0,1,0.0
100369,5,0,4,0.0
100370,10,0,8,0.0
100371,6,1,3,0.16666666666666666
100372,1,0,1,0.0
100373,1,0,1,0.0
100374,4,1,3,0.25
100375,1,0,1,0.0
100376,2,1,1,0.5
100377,3,2,1,0.6666666666666666
100378,6,2,3,0.3333333333333333
100379,6,0,3,0.0
100380,1,0,1,0.0
100381,2,0,2,0.0
100382,7,2,4,0.2857142857142857
100383,27,8,8,0.2962962962962963
100384,1,0,1,0.0
100385,12,4,5,0.3333333333333333
100386,7,0,5,0.0
100387,7,1,4,0.14285714285714285
100388,5,0,3,0.0
100389,2,0,2,0.0
100391,2,0,2,0.0
100392,2,0,2,0.0
100393,3,0,2,0.0
100394,16,0,6,0.0
100395,2,0,2,0.0
100396,1,0,1,0.0
100397,2,0,2,0.0
100398,6,0,4,0.0
100400,3,0,3,0.0
100401,2,0,2,0.0
100402,2,0,1,0.0
100403,4,0,2,0.0
100404,3,0,1,0.0
100405,5,2,2,0.4
100406,16,8,6,0.5
100407,2,1,1,0.5
100408,3,0,2,0.0
100409,4,0,3,0.0
100410,11,6,2,0.5454545454545454
100411,1,0,1,0.0
100412,4,1,2,0.25
100413,3,0,2,0.0
100414,8,0,5,0.0
100415,1,0,1,0.0
100416,13,3,4,0.23076923076923078
100417,3,0,3,0.0
100418,3,0,3,0.0
100419,2,0,2,0.0
100420,1,0,1,0.0
100421,3,0,2,0.0
100422,7,0,5,0.0
100423,7,2,3,0.2857142857142857
100424,3,0,3,0.0
100425,5,1,3,0.2
100426,7,1,6,0.14285714285714285
100427,1,0,1,0.0
100428,2,0,2,0.0
100429,7,0,5,0.0
100430,8,1,4,0.125
100431,14,4,2,0.2857142857142857
100432,2,0,1,0.0
100433,4,0,4,0.0
100434,4,1,2,0.25
100435,3,0,3,0.0
100436,6,0,4,0.0
100437,11,2,4,0.18181818181818182
100438,3,1,2,0.3333333333333333
100439,2,0,1,0.0
100440,5,0,5,0.0
100441,10,2,4,0.2
100442,6,0,5,0.0
100443,3,0,3,0.0
100444,2,0,2,0.0
100445,8,1,4,0.125
100446,1,0,1,0.0
100447,3,0,3,0.0
100448,2,0,2,0.0
100449,1,0,1,0.0
100450,2,1,1,0.5
100451,14,3,8,0.21428571428571427
100452,7,1,6,0.14285714285714285
100453,4,1,2,0.25
100455,1,0,1,0.0
100456,4,3,1,0.75
100457,7,5,2,0.7142857142857143
100458,1,0,1,0.0
100459,1,0,1,0.0
100461,5,0,5,0.0
100462,2,0,1,0.0
100463,12,0,6,0.0
100464,8,1,5,0.125
100465,5,1,4,0.2
100466,9,0,8,0.0
100468,9,3,4,0.3333333333333333
100470,5,3,1,0.6
100471,1,0,1,0.0
100472,2,1,1,0.5
100473,6,4,2,0.6666666666666666
100475,2,0,1,0.0
100476,1,0,1,0.0
100477,4,1,2,0.25
100478,20,1,15,0.05
100479,2,0,2,0.0
100480,1,0,1,0.0
100481,7,0,7,0.0
100482,11,6,3,0.5454545454545454
100483,5,0,2,0.0
100484,10,1,9,0.1
100485,8,3,2,0.375
100486,3,0,3,0.0
100487,9,1,6,0.1111111111111111
100489,1,0,1,0.0
100490,3,0,2,0.0
100491,8,6,2,0.75
100492,13,5,3,0.38461538461538464
100493,12,4,3,0.3333333333333333
100494,1,0,1,0.0
100495,1,0,1,0.0
100496,5,0,5,0.0
100497,2,0,2,0.0
100498,11,2,8,0.18181818181818182
100499,4,0,4,0.0
100500,4,1,2,0.25
100502,8,0,8,0.0
100503,13,5,4,0.38461538461538464
100504,6,1,5,0.16666666666666666
100505,1,1,0,1.0
100506,2,1,1,0.5
100507,12,4,6,0.3333333333333333
100508,9,2,6,0.2222222222222222
100509,5,0,3,0.0
100510,3,1,2,0.3333333333333333
100511,1,0,1,0.0
100512,1,0,1,0.0
100513,3,0,2,0.0
100514,10,3,3,0.3
100515,4,1,3,0.25
100516,9,1,6,0.1111111111111111
100517,5,1,4,0.2
100518,4,0,3,0.0
100519,6,0,3,0.0
100520,1,0,1,0.0
100521,7,1,5,0.14285714285714285
100522,6,0,4,0.0
100523,7,0,4,0.0
100524,18,3,8,0.16666666666666666
100525,1,0,1,0.0
100526,7,3,3,0.42857142857142855
100527,2,0,2,0.0
100528,14,0,7,0.0
100529,1,0,1,0.0
100530,2,0,2,0.0
100531,2,0,1,0.0
100532,3,2,1,0.6666666666666666
100533,3,0,2,0.0
100534,13,0,8,0.0
100535,3,0,3,0.0
100536,15,0,13,0.0
100537,6,0,5,0.0
100538,4,0,2,0.0
100539,12,1,9,0.08333333333333333
100540,6,1,3,0.16666666666666666
100541,1,0,1,0.0
100542,6,0,4,0.0
100543,1,0,1,0.0
100545,7,0,5,0.0
100546,1,0,1,0.0
100547,15,8,7,0.5333333333333333
100548,19,3,12,0.15789473684210525
100549,6,2,1,0.3333333333333333
100550,4,0,3,0.0
100551,22,4,5,0.18181818181818182
100552,10,1,5,0.1
100553,3,0,2,0.0
100554,2,0,2,0.0
100555,3,0,2,0.0
100556,4,0,4,0.0
100557,4,0,3,0.0
100558,7,3,2,0.42857142857142855
100559,2,0,2,0.0
100560,5,2,2,0.4
100561,11,4,7,0.36363636363636365
100562,6,1,5,0.16666666666666666
100563,3,0,2,0.0
100564,2,0,2,0.0
100565,1,0,1,0.0
100566,10,1,7,0.1
100567,3,0,1,0.0
100568,5,1,3,0.2
100569,6,0,4,0.0
100570,1,0,1,0.0
100571,4,0,4,0.0
100572,1,0,1,0.0
100573,1,0,1,0.0
100574,2,0,1,0.0
100575,1,0,1,0.0
100576,4,0,2,0.0
100577,9,1,5,0.1111111111111111
100578,1,0,1,0.0
100579,5,2,2,0.4
100580,15,1,8,0.06666666666666667
100581,6,0,3,0.0
100582,9,1,5,0.1111111111111111
100583,4,0,2,0.0
100585,2,0,2,0.0
100586,19,9,8,0.47368421052631576
100587,2,0,2,0.0
100588,1,0,1,0.0
100589,3,0,3,0.0
100590,1,0,1,0.0
100591,5,0,4,0.0
100592,7,3,4,0.42857142857142855
100593,1,0,1,0.0
100594,11,3,7,0.2727272727272727
100595,4,2,2,0.5
100596,3,0,1,0.0
100597,2,0,2,0.0
100598,4,0,2,0.0
100599,1,0,1,0.0
100600,11,0,10,0.0
100601,13,3,7,0.23076923076923078
100602,2,0,2,0.0
100603,7,1,5,0.14285714285714285
100604,1,0,1,0.0
100605,16,2,9,0.125
100606,2,0,2,0.0
100607,3,0,2,0.0
100608,5,0,3,0.0
100609,6,0,3,0.0
100610,2,0,1,0.0
100611,6,0,5,0.0
100612,3,0,3,0.0
100613,4,0,4,0.0
100614,2,0,0,0.0
100615,6,0,4,0.0
100616,2,1,1,0.5
100617,8,2,6,0.25
100618,7,1,5,0.14285714285714285
100619,4,1,3,0.25
100620,1,0,1,0.0
100621,2,0,2,0.0
100622,8,0,5,0.0
100623,8,0,6,0.0
100624,4,0,4,0.0
100625,5,0,4,0.0
100627,1,0,1,0.0
100629,3,1,2,0.3333333333333333
100630,4,1,3,0.25
100631,5,0,3,0.0
100632,7,1,3,0.14285714285714285
100633,8,2,2,0.25
100634,8,2,6,0.25
100635,10,3,1,0.3
100636,9,1,8,0.1111111111111111
100637,1,0,1,0.0
100638,2,0,2,0.0
100639,5,0,5,0.0
100640,5,1,4,0.2
100641,1,0,1,0.0
100642,2,0,2,0.0
100643,1,0,1,0.0
100644,2,0,1,0.0
100645,7,1,3,0.14285714285714285
100646,1,0,1,0.0
100647,11,0,6,0.0
100648,1,0,1,0.0
100649,2,1,1,0.5
100650,8,0,4,0.0
100651,9,0,7,0.0
100652,2,0,1,0.0
100653,4,0,2,0.0
100654,2,1,1,0.5
100655,1,0,1,0.0
100656,5,0,5,0.0
100658,6,1,3,0.16666666666666666
100659,7,0,4,0.0
100660,6,0,1,0.0
100661,6,1,5,0.16666666666666666
100662,13,0,7,0.0
100663,8,3,5,0.375
100665,4,0,4,0.0
100666,4,2,2,0.5
100667,3,1,2,0.3333333333333333
100668,2,0,2,0.0
100669,3,2,1,0.6666666666666666
100670,3,0,2,0.0
100671,8,2,6,0.25
100672,1,0,1,0.0
100674,14,2,10,0.14285714285714285
100675,17,3,5,0.17647058823529413
100676,4,0,4,0.0
100677,2,0,2,0.0
100678,2,0,2,0.0
100679,1,0,1,0.0
100680,5,0,3,0.0
100681,8,4,4,0.5
100682,1,0,1,0.0
100683,1,0,1,0.0
100684,11,0,5,0.0
100685,8,0,7,0.0
100686,3,0,3,0.0
100687,6,2,4,0.3333333333333333
100688,4,2,2,0.5
100689,2,0,2,0.0
100691,12,1,8,0.08333333333333333
100692,1,0,1,0.0
100693,1,0,1,0.0
100694,1,0,1,0.0
100695,11,4,7,0.36363636363636365
100696,2,0,1,0.0
100697,12,0,7,0.0
100698,5,0,3,0.0
100699,4,0,3,0.0
100700,2,0,2,0.0
100701,3,1,2,0.3333333333333333
100702,6,1,3,0.16666666666666666
100703,5,1,3,0.2
100704,7,0,4,0.0
100705,2,0,2,0.0
100706,3,0,2,0.0
100707,10,1,4,0.1
100708,8,0,7,0.0
100709,7,0,6,0.0
100710,10,6,3,0.6
100711,1,0,1,0.0
100712,3,1,2,0.3333333333333333
100713,1,0,1,0.0
100714,4,0,3,0.0
100716,3,0,3,0.0
100717,6,4,2,0.6666666666666666
100718,1,0,1,0.0
100719,3,1,2,0.3333333333333333
100720,2,0,2,0.0
100721,1,0,1,0.0
100722,5,2,3,0.4
100723,2,0,2,0.0
100724,1,0,1,0.0
100725,1,0,1,0.0
100726,4,1,3,0.25
100727,6,1,5,0.16666666666666666
100728,10,3,5,0.3
100729,7,1,4,0.14285714285714285
100730,4,0,4,0.0
100731,4,1,2,0.25
100732,2,1,1,0.5
100733,1,0,1,0.0
100734,8,0,6,0.0
100735,4,0,3,0.0
100736,13,1,11,0.07692307692307693
100737,4,0,3,0.0
100738,2,0,2,0.0
100739,1,0,1,0.0
100740,2,0,1,0.0
100741,7,1,3,0.14285714285714285
100743,5,0,5,0.0
100744,2,1,1,0.5
100745,4,0,4,0.0
100746,10,2,7,0.2
100747,2,0,1,0.0
100748,7,2,5,0.2857142857142857
100749,13,4,7,0.3076923076923077
100750,3,0,3,0.0
100751,3,0,3,0.0
100752,4,0,3,0.0
100753,3,0,3,0.0
100754,9,1,6,0.1111111111111111
100755,4,0,4,0.0
100756,5,0,4,0.0
100757,1,0,1,0.0
100758,1,0,1,0.0
100759,3,0,3,0.0
100760,3,0,3,0.0
100761,2,0,2,0.0
100762,2,1,1,0.5
100763,3,0,3,0.0
100764,1,0,1,0.0
100765,4,0,3,0.0
100766,1,0,1,0.0
100767,2,1,1,0.5
100768,6,0,6,0.0
100769,5,0,3,0.0
100770,4,0,4,0.0
100771,3,0,3,0.0
100772,7,1,5,0.14285714285714285
100773,5,1,3,0.2
100774,4,0,4,0.0
100775,3,0,3,0.0
100776,2,0,2,0.0
100777,1,0,1,0.0
100778,9,3,4,0.3333333333333333
100779,4,0,3,0.0
100780,1,0,1,0.0
100781,4,1,2,0.25
100782,4,0,4,0.0
100783,3,0,2,0.0
100784,15,4,11,0.26666666666666666
100785,5,0,5,0.0
100786,4,0,4,0.0
100787,4,3,1,0.75
100788,2,1,1,0.5
100789,3,0,3,0.0
100790,6,0,5,0.0
100791,3,0,2,0.0
100792,4,0,4,0.0
100793,5,0,3,0.0
100794,1,0,1,0.0
100795,6,1,4,0.16666666666666666
100796,12,4,7,0.3333333333333333
100797,5,0,4,0.0
100798,3,0,3,0.0
100799,5,0,3,0.0
100800,4,0,3,0.0
100801,1,0,1,0.0
100802,6,0,4,0.0
100803,7,0,7,0.0
100804,2,0,2,0.0
100805,2,0,2,0.0
100806,4,0,4,0.0
100807,2,0,2,0.0
100808,4,1,2,0.25
100809,3,0,1,0.0
100812,9,1,4,0.1111111111111111
100813,9,1,8,0.1111111111111111
100814,4,0,4,0.0
100815,6,2,4,0.3333333333333333
100816,20,9,4,0.45
100818,5,0,4,0.0
100819,6,1,2,0.16666666666666666
100820,1,0,1,0.0
100821,3,0,2,0.0
100822,4,1,3,0.25
100823,1,0,1,0.0
100824,4,1,2,0.25
100825,5,0,4,0.0
100826,2,0,2,0.0
100827,3,0,2,0.0
100828,1,0,1,0.0
100829,1,0,1,0.0
100830,14,3,2,0.21428571428571427
100831,16,4,12,0.25
100832,5,1,2,0.2
100833,4,0,4,0.0
100834,6,2,4,0.3333333333333333
100835,1,0,1,0.0
100836,2,0,2,0.0
100837,3,0,3,0.0
100838,1,0,1,0.0
100839,2,0,1,0.0
100840,1,0,1,0.0
100842,13,4,4,0.3076923076923077
100843,2,1,1,0.5
100844,1,0,1,0.0
100845,1,0,1,0.0
100846,13,1,8,0.07692307692307693
100847,3,0,3,0.0
100848,3,0,2,0.0
100849,3,1,2,0.3333333333333333
100851,2,0,2,0.0
100852,1,0,1,0.0
100853,9,4,5,0.4444444444444444
100854,6,2,3,0.3333333333333333
100855,1,0,1,0.0
100856,9,3,3,0.3333333333333333
100857,1,0,1,0.0
100858,3,0,3,0.0
100859,10,2,6,0.2
100860,2,0,2,0.0
100861,5,0,3,0.0
100862,6,0,6,0.0
100863,7,0,5,0.0
100864,2,0,2,0.0
100865,7,3,3,0.42857142857142855
100866,4,1,3,0.25
100867,16,1,6,0.0625
100868,3,2,1,0.6666666666666666
100869,2,0,2,0.0
100870,1,0,1,0.0
100871,6,1,2,0.16666666666666666
100872,2,0,2,0.0
100873,3,0,3,0.0
100874,2,0,1,0.0
100875,1,0,1,0.0
100876,4,0,4,0.0
100877,2,0,2,0.0
100878,6,2,2,0.3333333333333333
100879,6,3,3,0.5
100880,5,1,4,0.2
100881,2,0,2,0.0
100882,5,0,2,0.0
100883,1,0,1,0.0
100884,3,0,2,0.0
100885,8,0,7,0.0
100886,1,0,1,0.0
100887,2,0,2,0.0
100888,5,0,3,0.0
100890,1,0,1,0.0
100891,6,0,4,0.0
100892,4,0,4,0.0
100893,7,2,5,0.2857142857142857
100894,1,0,1,0.0
100895,3,0,3,0.0
100896,8,1,5,0.125
100897,3,1,2,0.3333333333333333
100898,1,0,1,0.0
100899,1,0,1,0.0
100900,3,0,2,0.0
100901,2,0,2,0.0
100902,3,1,2,0.3333333333333333
100903,2,0,1,0.0
100904,4,0,4,0.0
100905,3,1,1,0.3333333333333333
100906,6,1,3,0.16666666666666666
100907,3,0,3,0.0
100908,8,2,5,0.25
100909,6,0,4,0.0
100910,1,0,1,0.0
100911,5,0,5,0.0
100912,11,2,8,0.18181818181818182
100913,10,1,8,0.1
100914,1,0,1,0.0
100915,1,0,1,0.0
100916,3,0,2,0.0
100917,9,1,6,0.1111111111111111
100918,3,0,3,0.0
100919,11,0,10,0.0
100920,9,0,9,0.0
100921,2,0,2,0.0
100922,2,0,2,0.0
100923,11,1,10,0.09090909090909091
100924,4,0,3,0.0
100925,4,0,4,0.0
100926,4,0,4,0.0
100927,3,0,3,0.0
100928,1,0,1,0.0
100929,7,4,3,0.5714285714285714
100930,3,0,3,0.0
100931,3,0,1,0.0
100932,1,0,1,0.0
100933,9,3,6,0.3333333333333333
100934,2,0,2,0.0
100935,7,1,5,0.14285714285714285
100937,2,0,2,0.0
100938,17,0,11,0.0
100939,6,0,5,0.0
100940,4,0,4,0.0
100941,8,1,4,0.125
100942,4,1,3,0.25
100943,4,1,2,0.25
100944,6,1,3,0.16666666666666666
100945,7,2,3,0.2857142857142857
100946,4,0,2,0.0
100947,6,0,6,0.0
100948,13,9,4,0.6923076923076923
100949,6,0,6,0.0
100950,9,1,5,0.1111111111111111
100951,2,1,1,0.5
100952,6,0,6,0.0
100953,2,0,2,0.0
100954,1,0,1,0.0
100955,9,0,6,0.0
100956,7,2,5,0.2857142857142857
100957,2,0,2,0.0
100958,14,1,3,0.07142857142857142
100959,3,0,2,0.0
100960,2,0,2,0.0
100961,3,0,3,0.0
100962,3,0,3,0.0
100963,4,0,4,0.0
100964,9,2,4,0.2222222222222222
100965,1,0,1,0.0
100966,5,0,4,0.0
100967,5,0,4,0.0
100968,5,0,3,0.0
100969,1,0,1,0.0
100970,1,0,1,0.0
100971,6,3,3,0.5
100972,1,0,1,0.0
100973,11,2,5,0.18181818181818182
100974,12,2,6,0.16666666666666666
100975,3,0,3,0.0
100976,5,0,5,0.0
100977,1,0,1,0.0
100978,1,0,1,0.0
100979,1,0,1,0.0
100980,5,0,5,0.0
100982,1,0,1,0.0
100983,4,0,2,0.0
100984,10,3,5,0.3
100985,2,0,2,0.0
100986,1,0,1,0.0
100987,1,0,1,0.0
100988,1,0,1,0.0
100989,5,1,2,0.2
100990,3,0,3,0.0
100991,5,0,5,0.0
100992,14,4,6,0.2857142857142857
100993,3,0,3,0.0
100994,4,2,2,0.5
100995,5,1,3,0.2
100996,2,1,1,0.5
100997,1,0,1,0.0
100998,1,0,1,0.0
101000,3,2,1,0.6666666666666666
101001,7,0,6,0.0
101002,3,0,3,0.0
101003,5,0,4,0.0
101004,5,2,3,0.4
101005,2,0,2,0.0
101006,7,2,5,0.2857142857142857
101007,1,0,1,0.0
101008,5,2,2,0.4
101009,1,0,1,0.0
101010,2,0,2,0.0
101011,3,2,1,0.6666666666666666
101012,2,0,2,0.0
101013,3,0,2,0.0
101014,5,1,4,0.2
101015,1,0,1,0.0
101016,4,2,2,0.5
101017,6,1,3,0.16666666666666666
101018,7,0,6,0.0
101019,12,5,4,0.4166666666666667
101020,9,0,8,0.0
101021,11,2,6,0.18181818181818182
101022,10,2,5,0.2
101023,3,0,2,0.0
101024,3,0,3,0.0
101025,2,1,1,0.5
101026,9,1,5,0.1111111111111111
101027,2,1,1,0.5
101028,5,0,4,0.0
101029,1,0,1,0.0
101030,2,0,2,0.0
101031,3,0,3,0.0
101032,8,0,7,0.0
101033,1,0,1,0.0
101034,14,4,6,0.2857142857142857
